2025-11-25T16:37:28.127-0800	[34mINFO[0m	config/config.go:302	Loaded configuration	{"logger.active": true, "logger.level": "info", "logger.encoding": "console", "logger.mode": "stdout", "logger.file.path": "", "logger.file.maxSizeMB": 0, "logger.file.maxBackups": 0, "logger.file.maxAgeDays": 0, "logger.file.compress": false, "dht.idBits": 66, "dht.mode": "private", "dht.deBruijn.degree": 8, "dht.deBruijn.fixInterval": "3s", "dht.deBruijn.fixIntervalMs": 3000, "dht.storage.fixInterval": "20s", "dht.storage.fixIntervalMs": 20000, "dht.faultTolerance.successorListSize": 8, "dht.faultTolerance.stabilizationInterval": "2s", "dht.faultTolerance.stabilizationIntervalMs": 2000, "dht.faultTolerance.failureTimeout": "1s", "dht.faultTolerance.failureTimeoutMs": 1000, "dht.bootstrap.mode": "static", "dht.bootstrap.peers": ["localhost:4000"], "dht.bootstrap.register.hostedZoneId": "", "dht.bootstrap.register.domainSuffix": "", "dht.bootstrap.register.ttl": 0, "dht.bootstrap.register.region": "", "node.id": "", "node.host": "localhost", "node.bind": "0.0.0.0", "node.port": 4028, "telemetry.tracing.enabled": false, "telemetry.tracing.exporter": "", "telemetry.tracing.endpoint": "", "cache.enabled": true, "cache.httpPort": 8108, "cache.capacityMB": 256, "cache.defaultTTL": 3600, "cache.hotspotThreshold": 10, "cache.hotspotDecayRate": 0.65}
2025-11-25T16:37:28.174-0800	[34mINFO[0m	node	node/main.go:103	New Node initializing	{"self": {"addr":"localhost:4028","id":"0x00b9e3693ed707149b"}}
2025-11-25T16:37:28.177-0800	[34mINFO[0m	node	node/main.go:124	initialized web cache	{"self": {"addr":"localhost:4028","id":"0x00b9e3693ed707149b"}, "capacity_mb": 256}
2025-11-25T16:37:28.177-0800	[34mINFO[0m	node	node/main.go:131	initialized hotspot detector	{"self": {"addr":"localhost:4028","id":"0x00b9e3693ed707149b"}, "threshold": 10, "decay_rate": 0.65}
2025-11-25T16:37:28.178-0800	[34mINFO[0m	node	node/main.go:185	Initialized Koorde node	{"self": {"addr":"localhost:4028","id":"0x00b9e3693ed707149b"}}
2025-11-25T16:37:28.178-0800	[34mINFO[0m	node	node/main.go:261	resolved bootstrap peers	{"self": {"addr":"localhost:4028","id":"0x00b9e3693ed707149b"}, "peers": ["localhost:4000"]}
2025-11-25T16:37:28.178-0800	[34mINFO[0m	node.http-server	server/http.go:93	HTTP cache server starting	{"self": {"addr":"localhost:4028","id":"0x00b9e3693ed707149b"}, "addr": ":8108"}
2025-11-25T16:37:28.214-0800	[34mINFO[0m	node	logicnode/node.go:74	join: candidate successor found	{"self": {"addr":"localhost:4028","id":"0x00b9e3693ed707149b"}, "bootstrap": "localhost:4000", "successor": {"addr":"localhost:4008","id":"0x00cba93ac8da0c0474"}}
2025-11-25T16:37:28.217-0800	[34mINFO[0m	node	logicnode/node.go:105	join: successor has predecessor	{"self": {"addr":"localhost:4028","id":"0x00b9e3693ed707149b"}, "predecessor": {"addr":"localhost:4024","id":"0x00aec32113281c44fb"}}
2025-11-25T16:37:28.221-0800	[33mWARN[0m	node	logicnode/operation.go:406	FindSuccessorStep: de Bruijn failed or empty, falling back to successor	{"self": {"addr":"localhost:4028","id":"0x00b9e3693ed707149b"}, "target": "0x0163512f04317c0329", "nextHop": {"addr":"localhost:4008","id":"0x00cba93ac8da0c0474"}}
2025-11-25T16:37:28.227-0800	[34mINFO[0m	node	logicnode/node.go:138	join: completed successfully	{"self": {"addr":"localhost:4028","id":"0x00b9e3693ed707149b"}, "self": {"addr":"localhost:4028","id":"0x00b9e3693ed707149b"}, "successor": {"addr":"localhost:4008","id":"0x00cba93ac8da0c0474"}}
2025-11-25T16:37:28.227-0800	[34mINFO[0m	node	node/main.go:283	node registered successfully	{"self": {"addr":"localhost:4028","id":"0x00b9e3693ed707149b"}}
2025-11-25T16:38:47.155-0800	[34mINFO[0m	node.http-server	server/http.go:173	DHT lookup complete	{"self": {"addr":"localhost:4028","id":"0x00b9e3693ed707149b"}, "url": "https://httpbin.org/base64/SFRUUEJJTiBpcyBhd2Vzb21l", "hash": "0x03dc49fba2d867e22c", "responsible": {"addr":"localhost:4016","id":"0x03e94e912bcf7bb769"}, "lookup_latency_ms": 9}
2025-11-25T16:38:47.155-0800	[34mINFO[0m	node.http-server	server/http.go:349	Forwarding to responsible node	{"self": {"addr":"localhost:4028","id":"0x00b9e3693ed707149b"}, "url": "https://httpbin.org/base64/SFRUUEJJTiBpcyBhd2Vzb21l", "hash": "0x03dc49fba2d867e22c", "responsible_from_lookup": {"addr":"localhost:4016","id":"0x03e94e912bcf7bb769"}, "forward_target": {"addr":"localhost:4016","id":"0x03e94e912bcf7bb769"}}
2025-11-25T16:38:47.167-0800	[34mINFO[0m	node.http-server	server/http.go:617	Request proxied successfully	{"self": {"addr":"localhost:4028","id":"0x00b9e3693ed707149b"}, "url": "https://httpbin.org/base64/SFRUUEJJTiBpcyBhd2Vzb21l", "target_node": "localhost:4016", "total_latency_ms": 21, "size_bytes": 18}
