2025-11-12T16:08:52.157-0800	[34mINFO[0m	config/config.go:297	Loaded configuration	{"logger.active": true, "logger.level": "info", "logger.encoding": "console", "logger.mode": "stdout", "logger.file.path": "", "logger.file.maxSizeMB": 0, "logger.file.maxBackups": 0, "logger.file.maxAgeDays": 0, "logger.file.compress": false, "dht.idBits": 66, "dht.mode": "private", "dht.deBruijn.degree": 8, "dht.deBruijn.fixInterval": "5s", "dht.deBruijn.fixIntervalMs": 5000, "dht.storage.fixInterval": "20s", "dht.storage.fixIntervalMs": 20000, "dht.faultTolerance.successorListSize": 8, "dht.faultTolerance.stabilizationInterval": "2s", "dht.faultTolerance.stabilizationIntervalMs": 2000, "dht.faultTolerance.failureTimeout": "1s", "dht.faultTolerance.failureTimeoutMs": 1000, "dht.bootstrap.mode": "static", "dht.bootstrap.peers": ["localhost:4000"], "dht.bootstrap.register.hostedZoneId": "", "dht.bootstrap.register.domainSuffix": "", "dht.bootstrap.register.ttl": 0, "dht.bootstrap.register.region": "", "node.id": "", "node.host": "localhost", "node.bind": "0.0.0.0", "node.port": 4021, "telemetry.tracing.enabled": false, "telemetry.tracing.exporter": "", "telemetry.tracing.endpoint": "", "cache.enabled": true, "cache.httpPort": 8101, "cache.capacityMB": 512, "cache.defaultTTL": 3600, "cache.hotspotThreshold": 10, "cache.hotspotDecayRate": 0.65}
2025-11-12T16:08:52.165-0800	[34mINFO[0m	node	node/main.go:101	New Node initializing	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}}
2025/11/12 16:08:52 Tracing disabled
2025-11-12T16:08:52.166-0800	[34mINFO[0m	node	node/main.go:130	initialized web cache	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "capacity_mb": 512}
2025-11-12T16:08:52.166-0800	[34mINFO[0m	node	node/main.go:137	initialized hotspot detector	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "threshold": 10, "decay_rate": 0.65}
2025-11-12T16:08:52.167-0800	[34mINFO[0m	node	node/main.go:237	resolved bootstrap peers	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "peers": ["localhost:4000"]}
2025-11-12T16:08:52.167-0800	[34mINFO[0m	node.http-server	server/http.go:70	HTTP cache server starting	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "addr": ":8101"}
2025-11-12T16:08:52.296-0800	[34mINFO[0m	node	logicnode/node.go:72	join: candidate successor found	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "bootstrap": "localhost:4000", "successor": {"addr":"localhost:4011","id":"0x03b6b99475a18d9035"}}
2025-11-12T16:08:52.321-0800	[34mINFO[0m	node	logicnode/node.go:103	join: successor has predecessor	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "predecessor": {"addr":"localhost:4017","id":"0x03912fc65e29c48a34"}}
2025-11-12T16:08:52.340-0800	[33mWARN[0m	node	logicnode/operation.go:296	FindSuccessorStep: de Bruijn failed or empty, falling back to successor	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "target": "0x011e53db69caf1541f", "nextHop": {"addr":"localhost:4011","id":"0x03b6b99475a18d9035"}}
2025-11-12T16:08:52.387-0800	[34mINFO[0m	node	logicnode/node.go:135	join: completed successfully	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "successor": {"addr":"localhost:4011","id":"0x03b6b99475a18d9035"}}
2025-11-12T16:08:52.387-0800	[34mINFO[0m	node	node/main.go:259	node registered successfully	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}}
2025-11-12T16:10:06.217-0800	[34mINFO[0m	node.http-server	server/http.go:254	I am responsible, fetching from origin	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "url": "https://httpbin.org/json"}
2025-11-12T16:10:09.623-0800	[34mINFO[0m	node.http-server	server/http.go:478	Origin fetch successful	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "url": "https://httpbin.org/json", "size_bytes": 429, "content_type": "application/json"}
2025-11-12T16:10:09.623-0800	[34mINFO[0m	node.http-server	server/http.go:274	Content cached successfully	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "url": "https://httpbin.org/json", "size_bytes": 429}
2025-11-12T16:10:09.624-0800	[34mINFO[0m	node.http-server	server/http.go:286	Request completed	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "url": "https://httpbin.org/json", "total_latency_ms": 3406, "content_size": 429}
2025-11-12T16:10:09.709-0800	[34mINFO[0m	node.http-server	server/http.go:221	Cache HIT (local)	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "url": "https://httpbin.org/json", "size_bytes": 429, "latency_ms": 0}
2025-11-12T17:08:52.168-0800	[34mINFO[0m	node	node/main.go:148	cleaned expired cache entries	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "count": 0}
2025-11-12T17:08:52.169-0800	[34mINFO[0m	node	node/main.go:151	cleaned stale hotspot entries	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "count": 0}
2025-11-12T20:44:16.882-0800	[34mINFO[0m	node	node/main.go:148	cleaned expired cache entries	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "count": 1}
2025-11-12T20:44:16.884-0800	[34mINFO[0m	node	node/main.go:151	cleaned stale hotspot entries	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "count": 0}
2025-11-12T21:44:16.881-0800	[34mINFO[0m	node	node/main.go:148	cleaned expired cache entries	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "count": 0}
2025-11-12T21:44:16.882-0800	[34mINFO[0m	node	node/main.go:151	cleaned stale hotspot entries	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "count": 0}
2025-11-12T22:44:16.881-0800	[34mINFO[0m	node	node/main.go:148	cleaned expired cache entries	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "count": 0}
2025-11-12T22:44:16.882-0800	[34mINFO[0m	node	node/main.go:151	cleaned stale hotspot entries	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "count": 0}
2025-11-12T23:44:16.882-0800	[34mINFO[0m	node	node/main.go:148	cleaned expired cache entries	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "count": 0}
2025-11-12T23:44:16.883-0800	[34mINFO[0m	node	node/main.go:151	cleaned stale hotspot entries	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "count": 0}
2025-11-13T09:10:32.209-0800	[34mINFO[0m	node	node/main.go:148	cleaned expired cache entries	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "count": 0}
2025-11-13T09:10:32.210-0800	[34mINFO[0m	node	node/main.go:151	cleaned stale hotspot entries	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "count": 0}
2025-11-13T10:10:32.209-0800	[34mINFO[0m	node	node/main.go:148	cleaned expired cache entries	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "count": 0}
2025-11-13T10:10:32.217-0800	[34mINFO[0m	node	node/main.go:151	cleaned stale hotspot entries	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "count": 0}
2025-11-13T11:10:32.209-0800	[34mINFO[0m	node	node/main.go:148	cleaned expired cache entries	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "count": 0}
2025-11-13T11:10:32.209-0800	[34mINFO[0m	node	node/main.go:151	cleaned stale hotspot entries	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "count": 0}
2025-11-13T13:43:10.198-0800	[34mINFO[0m	node	node/main.go:148	cleaned expired cache entries	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "count": 0}
2025-11-13T13:43:10.199-0800	[34mINFO[0m	node	node/main.go:151	cleaned stale hotspot entries	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "count": 0}
2025-11-13T14:44:11.634-0800	[34mINFO[0m	node	node/main.go:148	cleaned expired cache entries	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "count": 0}
2025-11-13T14:44:11.635-0800	[34mINFO[0m	node	node/main.go:151	cleaned stale hotspot entries	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "count": 0}
2025-11-13T15:44:11.633-0800	[34mINFO[0m	node	node/main.go:148	cleaned expired cache entries	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "count": 0}
2025-11-13T15:44:11.635-0800	[34mINFO[0m	node	node/main.go:151	cleaned stale hotspot entries	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "count": 0}
2025-11-13T16:47:39.733-0800	[34mINFO[0m	node	node/main.go:148	cleaned expired cache entries	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "count": 0}
2025-11-13T16:47:39.734-0800	[34mINFO[0m	node	node/main.go:151	cleaned stale hotspot entries	{"self": {"addr":"localhost:4021","id":"0x03aca98819949d884c"}, "count": 1}
