2025-11-25T16:37:26.022-0800	[34mINFO[0m	config/config.go:302	Loaded configuration	{"logger.active": true, "logger.level": "info", "logger.encoding": "console", "logger.mode": "stdout", "logger.file.path": "", "logger.file.maxSizeMB": 0, "logger.file.maxBackups": 0, "logger.file.maxAgeDays": 0, "logger.file.compress": false, "dht.idBits": 66, "dht.mode": "private", "dht.deBruijn.degree": 8, "dht.deBruijn.fixInterval": "3s", "dht.deBruijn.fixIntervalMs": 3000, "dht.storage.fixInterval": "20s", "dht.storage.fixIntervalMs": 20000, "dht.faultTolerance.successorListSize": 8, "dht.faultTolerance.stabilizationInterval": "2s", "dht.faultTolerance.stabilizationIntervalMs": 2000, "dht.faultTolerance.failureTimeout": "1s", "dht.faultTolerance.failureTimeoutMs": 1000, "dht.bootstrap.mode": "static", "dht.bootstrap.peers": ["localhost:4000"], "dht.bootstrap.register.hostedZoneId": "", "dht.bootstrap.register.domainSuffix": "", "dht.bootstrap.register.ttl": 0, "dht.bootstrap.register.region": "", "node.id": "", "node.host": "localhost", "node.bind": "0.0.0.0", "node.port": 4023, "telemetry.tracing.enabled": false, "telemetry.tracing.exporter": "", "telemetry.tracing.endpoint": "", "cache.enabled": true, "cache.httpPort": 8103, "cache.capacityMB": 256, "cache.defaultTTL": 3600, "cache.hotspotThreshold": 10, "cache.hotspotDecayRate": 0.65}
2025-11-25T16:37:26.080-0800	[34mINFO[0m	node	node/main.go:103	New Node initializing	{"self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}}
2025-11-25T16:37:26.084-0800	[34mINFO[0m	node	node/main.go:124	initialized web cache	{"self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "capacity_mb": 256}
2025-11-25T16:37:26.084-0800	[34mINFO[0m	node	node/main.go:131	initialized hotspot detector	{"self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "threshold": 10, "decay_rate": 0.65}
2025-11-25T16:37:26.085-0800	[34mINFO[0m	node	node/main.go:185	Initialized Koorde node	{"self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}}
2025-11-25T16:37:26.085-0800	[34mINFO[0m	node	node/main.go:261	resolved bootstrap peers	{"self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "peers": ["localhost:4000"]}
2025-11-25T16:37:26.085-0800	[34mINFO[0m	node.http-server	server/http.go:93	HTTP cache server starting	{"self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "addr": ":8103"}
2025-11-25T16:37:26.108-0800	[34mINFO[0m	node	logicnode/node.go:74	join: candidate successor found	{"self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "bootstrap": "localhost:4000", "successor": {"addr":"localhost:4007","id":"0x00207adf4852a380ec"}}
2025-11-25T16:37:26.112-0800	[34mINFO[0m	node	logicnode/node.go:105	join: successor has predecessor	{"self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "predecessor": {"addr":"localhost:4016","id":"0x03e94e912bcf7bb769"}}
2025-11-25T16:37:26.117-0800	[33mWARN[0m	node	logicnode/operation.go:406	FindSuccessorStep: de Bruijn failed or empty, falling back to successor	{"self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "target": "0x02a98019cf843e0faa", "nextHop": {"addr":"localhost:4007","id":"0x00207adf4852a380ec"}}
2025-11-25T16:37:26.128-0800	[34mINFO[0m	node	logicnode/node.go:138	join: completed successfully	{"self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "successor": {"addr":"localhost:4007","id":"0x00207adf4852a380ec"}}
2025-11-25T16:37:26.129-0800	[34mINFO[0m	node	node/main.go:283	node registered successfully	{"self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}}
2025-11-25T16:38:39.170-0800	[34mINFO[0m	node.http-server	server/http.go:400	I am responsible, fetching from origin	{"self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "url": "https://httpbin.org/status/200"}
2025-11-25T16:38:39.660-0800	[34mINFO[0m	node.http-server	server/http.go:660	Origin fetch successful	{"self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "url": "https://httpbin.org/status/200", "size_bytes": 0, "content_type": "text/html; charset=utf-8", "status_code": 200}
2025-11-25T16:38:39.661-0800	[34mINFO[0m	node.http-server	server/http.go:420	Content cached successfully	{"self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "url": "https://httpbin.org/status/200", "size_bytes": 0}
2025-11-25T16:38:39.662-0800	[34mINFO[0m	node.http-server	server/http.go:433	Request completed	{"self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "url": "https://httpbin.org/status/200", "total_latency_ms": 491, "content_size": 0}
2025-11-25T16:38:46.495-0800	[34mINFO[0m	node.http-server	server/http.go:361	Cache HIT (local)	{"self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "url": "https://httpbin.org/status/200", "size_bytes": 0, "latency_ms": 0}
2025-11-25T16:38:46.670-0800	[34mINFO[0m	node.http-server	server/http.go:173	DHT lookup complete	{"self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "url": "https://httpbin.org/status/202", "hash": "0x02120134cbb313972e", "responsible": {"addr":"localhost:4031","id":"0x021203d6676ae77b72"}, "lookup_latency_ms": 3}
2025-11-25T16:38:46.671-0800	[34mINFO[0m	node.http-server	server/http.go:349	Forwarding to responsible node	{"self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "url": "https://httpbin.org/status/202", "hash": "0x02120134cbb313972e", "responsible_from_lookup": {"addr":"localhost:4031","id":"0x021203d6676ae77b72"}, "forward_target": {"addr":"localhost:4031","id":"0x021203d6676ae77b72"}}
2025-11-25T16:38:48.340-0800	[34mINFO[0m	node.http-server	server/http.go:173	DHT lookup complete	{"self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "url": "https://httpbin.org/status/202", "hash": "0x02120134cbb313972e", "responsible": {"addr":"localhost:4031","id":"0x021203d6676ae77b72"}, "lookup_latency_ms": 3}
2025-11-25T16:38:48.340-0800	[34mINFO[0m	node.http-server	server/http.go:349	Forwarding to responsible node	{"self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "url": "https://httpbin.org/status/202", "hash": "0x02120134cbb313972e", "responsible_from_lookup": {"addr":"localhost:4031","id":"0x021203d6676ae77b72"}, "forward_target": {"addr":"localhost:4031","id":"0x021203d6676ae77b72"}}
2025-11-25T16:38:48.342-0800	[34mINFO[0m	node.http-server	server/http.go:617	Request proxied successfully	{"self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "url": "https://httpbin.org/status/202", "target_node": "localhost:4031", "total_latency_ms": 6, "size_bytes": 0}
2025-11-25T16:38:48.533-0800	[34mINFO[0m	node.http-server	server/http.go:617	Request proxied successfully	{"self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "url": "https://httpbin.org/status/202", "target_node": "localhost:4031", "total_latency_ms": 1866, "size_bytes": 0}
2025-11-25T16:38:48.627-0800	[34mINFO[0m	node.http-server	server/http.go:173	DHT lookup complete	{"self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "url": "https://httpbin.org/status/202", "hash": "0x02120134cbb313972e", "responsible": {"addr":"localhost:4031","id":"0x021203d6676ae77b72"}, "lookup_latency_ms": 2}
2025-11-25T16:38:48.627-0800	[34mINFO[0m	node.http-server	server/http.go:215	Cache HIT (near)	{"self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "url": "https://httpbin.org/status/202", "size_bytes": 0, "latency_ms": 3}
2025-11-25T16:38:49.319-0800	[34mINFO[0m	node.http-server	server/http.go:173	DHT lookup complete	{"self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "url": "https://httpbin.org/status/202", "hash": "0x02120134cbb313972e", "responsible": {"addr":"localhost:4031","id":"0x021203d6676ae77b72"}, "lookup_latency_ms": 4}
2025-11-25T16:38:49.319-0800	[34mINFO[0m	node.http-server	server/http.go:215	Cache HIT (near)	{"self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "url": "https://httpbin.org/status/202", "size_bytes": 0, "latency_ms": 4}
2025-11-25T16:38:50.869-0800	[34mINFO[0m	node.http-server	server/http.go:173	DHT lookup complete	{"self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "url": "https://httpbin.org/status/202", "hash": "0x02120134cbb313972e", "responsible": {"addr":"localhost:4031","id":"0x021203d6676ae77b72"}, "lookup_latency_ms": 3}
2025-11-25T16:38:50.869-0800	[34mINFO[0m	node.http-server	server/http.go:215	Cache HIT (near)	{"self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "url": "https://httpbin.org/status/202", "size_bytes": 0, "latency_ms": 4}
2025-11-25T16:38:51.127-0800	[34mINFO[0m	node.http-server	server/http.go:173	DHT lookup complete	{"self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "url": "https://httpbin.org/status/202", "hash": "0x02120134cbb313972e", "responsible": {"addr":"localhost:4031","id":"0x021203d6676ae77b72"}, "lookup_latency_ms": 3}
2025-11-25T16:38:51.128-0800	[34mINFO[0m	node.http-server	server/http.go:215	Cache HIT (near)	{"self": {"addr":"localhost:4023","id":"0x03f247490b64e4d93b"}, "url": "https://httpbin.org/status/202", "size_bytes": 0, "latency_ms": 3}
